899 7089
0 0 1
0 38 9
0 101 2
0 153 1
0 356 5
0 458 1
1 13 5
1 44 1
1 69 1
1 80 2
1 82 1
1 126 1
1 158 2
1 160 1
1 170 1
1 198 2
1 208 1
1 218 9
1 236 3
1 238 1
1 280 1
1 282 2
1 283 4
1 285 2
1 289 4
1 292 2
1 299 2
1 301 1
1 305 2
1 312 1
1 386 1
1 406 3
1 440 1
2 15 1
2 16 1
2 17 1
2 51 15
2 61 26
2 82 5
2 83 25
2 87 2
2 116 62
2 119 38
2 166 9
2 181 3
2 207 2
2 236 1
2 241 4
2 260 1
2 288 1
2 290 25
2 292 1
2 311 3
2 361 16
2 364 17
2 366 12
2 370 47
2 372 3
2 376 9
2 387 12
2 434 7
2 437 36
2 487 1
2 528 1
3 6 5
3 31 3
3 35 7
3 72 11
3 90 1
3 115 1
3 195 4
3 201 1
3 206 2
3 231 3
3 244 1
3 290 14
3 323 1
3 351 3
3 392 4
3 452 1
3 529 6
4 71 1
4 81 1
4 447 1
5 63 2
5 81 1
5 114 2
5 228 4
5 235 10
5 354 1
5 390 3
5 481 1
5 523 2
6 12 1
6 23 14
6 51 4
6 59 1
6 81 22
6 152 1
6 176 2
7 135 1
7 340 1
8 18 1
8 92 1
9 67 1
9 322 1
10 10 1
10 30 2
10 102 1
10 104 1
10 387 1
11 16 1
11 18 1
11 48 10
11 54 5
11 57 5
11 66 7
11 168 7
12 2 6
12 9 4
12 21 1
12 114 2
12 164 2
13 81 4
13 398 1
13 434 2
14 2 1
14 158 1
15 7 4
15 11 7
15 12 3
15 58 26
15 59 4
15 68 1
15 81 41
15 118 1
15 125 1
15 138 3
15 204 1
15 290 1
15 363 3
16 10 7
16 11 11
16 12 63
16 17 4
16 21 3
16 45 101
16 57 12
16 61 27
16 71 1
16 78 1
16 81 24
16 86 1
16 93 39
16 102 8
16 118 11
16 127 4
16 136 1
16 185 3
16 238 14
16 239 1
16 288 27
16 384 30
16 445 39
16 471 1
16 526 2
17 1 21
17 8 3
17 10 42
17 11 4
17 12 71
17 17 3
17 18 25
17 21 4
17 45 26
17 47 25
17 58 107
17 59 1
17 71 10
17 74 17
17 75 44
17 81 21
17 86 3
17 93 6
17 99 10
17 102 1
17 109 1
17 118 16
17 130 4
17 158 14
17 193 5
17 199 6
17 203 26
17 204 8
17 206 7
17 219 3
17 288 8
17 304 17
17 384 8
17 445 15
17 481 3
17 545 2
17 547 1
18 11 4
18 12 4
18 17 1
18 19 7
18 59 2
18 61 1
18 120 1
18 163 3
18 261 5
18 288 3
18 307 2
18 376 1
19 4 1
19 6 2
19 207 1
19 262 1
20 55 1
20 340 1
21 6 2
22 6 3
22 15 1
22 35 8
22 80 5
22 81 28
22 90 6
22 127 1
22 360 11
22 378 1
22 422 2
22 442 1
22 481 11
23 7 1
23 14 1
23 16 1
23 58 1
23 81 1
23 184 1
23 201 1
23 204 1
23 251 2
23 280 1
23 390 1
23 409 2
23 422 1
24 1 17
24 5 2
24 6 30
24 18 1
24 68 1
24 109 14
24 209 1
24 254 1
24 272 1
24 296 1
24 401 4
24 421 1
24 440 5
24 481 7
25 6 8
25 9 1
25 15 2
25 16 1
25 90 1
25 106 12
25 113 4
25 121 4
25 131 2
25 191 3
25 265 7
25 282 2
25 291 1
25 297 3
25 329 1
25 372 2
25 395 1
25 439 1
25 456 1
25 522 6
25 528 4
26 12 2
26 19 3
26 54 5
26 74 4
26 81 13
26 91 5
26 155 11
26 184 1
26 198 2
26 201 3
26 203 1
26 235 4
26 236 4
26 244 3
26 272 4
26 321 11
26 339 7
26 346 1
26 372 1
26 464 3
27 12 2
27 15 1
27 16 2
27 19 3
27 59 4
27 61 1
27 63 1
27 66 3
27 81 3
27 88 1
27 101 1
27 102 4
27 108 2
27 109 1
27 122 3
27 138 4
27 149 1
27 161 1
27 165 1
27 167 1
27 168 3
27 181 2
27 195 1
27 198 1
27 201 2
27 218 2
27 236 3
27 241 3
27 251 1
27 263 5
27 346 3
27 364 2
27 385 1
27 390 2
28 6 5
28 17 2
28 51 1
28 94 1
28 321 5
28 376 1
28 421 2
29 11 8
29 15 3
29 16 2
29 151 3
29 163 4
29 194 3
30 9 4
30 10 1
30 24 2
30 58 1
30 59 3
30 74 3
30 81 3
30 91 1
30 102 1
30 120 1
30 248 1
31 10 8
31 12 47
31 45 77
31 61 9
31 303 22
31 318 8
31 445 9
31 526 3
32 516 1
33 63 1
34 12 1
34 59 1
34 210 1
34 228 2
34 374 1
34 378 1
35 6 2
35 12 7
35 35 1
35 59 1
35 67 7
35 81 1
35 93 5
35 100 1
35 193 3
35 288 4
35 323 3
36 12 3
36 29 1
36 112 11
37 45 19
37 48 6
37 57 5
37 66 6
37 81 4
37 127 4
37 150 6
37 282 5
37 290 3
37 303 7
37 332 1
37 340 1
37 378 1
37 394 1
38 153 1
38 198 1
39 6 1
39 50 1
39 114 1
40 81 1
41 43 1
41 63 6
41 160 2
41 228 3
41 234 2
41 235 3
41 280 1
41 349 2
41 351 1
41 523 2
41 543 4
42 425 1
43 6 4
43 7 25
43 9 1
43 11 11
43 14 3
43 16 22
43 19 13
43 38 10
43 72 1
43 83 8
43 90 7
43 100 1
43 101 23
43 151 9
43 162 6
43 198 2
43 233 1
43 237 2
43 294 7
43 316 3
43 321 20
43 426 7
43 442 15
43 494 14
43 498 1
43 528 8
44 38 23
44 54 3
44 101 2
44 169 1
44 172 4
44 215 1
44 240 10
44 488 6
45 85 2
45 373 1
46 4 34
46 6 3
46 12 1
46 13 3
46 14 4
46 17 11
46 19 22
46 48 3
46 58 68
46 80 17
46 81 22
46 88 3
46 98 5
46 106 9
46 116 4
46 126 1
46 130 1
46 161 3
46 168 6
46 184 3
46 206 5
46 207 8
46 236 4
46 238 5
46 260 4
46 272 8
46 280 12
46 294 4
46 302 4
46 303 35
46 323 9
46 332 3
46 338 2
46 362 1
46 363 3
46 369 8
46 384 3
46 385 12
46 464 10
46 518 1
46 525 1
46 543 1
47 122 1
48 75 3
48 230 1
48 303 2
49 104 4
50 175 1
50 238 2
50 317 4
51 7 2
51 38 27
51 154 1
51 172 13
51 238 8
51 404 9
51 430 5
51 450 6
51 451 5
51 530 2
52 1 1
52 17 7
52 18 2
52 43 2
52 92 7
52 116 26
52 130 19
52 158 2
52 168 27
52 177 4
52 185 5
52 190 10
52 200 3
52 235 4
52 238 6
52 252 18
52 256 33
52 288 60
52 302 11
52 322 5
52 356 2
52 361 8
52 377 14
52 385 19
52 407 9
52 410 12
52 419 4
52 442 18
52 456 4
52 481 1
52 485 12
52 512 3
52 523 8
52 540 4
52 549 1
53 12 13
53 25 18
53 75 4
53 81 22
53 116 7
53 290 4
53 384 6
53 391 3
53 406 2
54 12 1
55 4 10
55 16 1
55 38 5
55 80 10
55 98 4
55 101 9
55 172 2
55 233 9
55 344 10
55 422 17
55 430 2
55 487 2
55 497 6
55 512 2
56 92 1
56 120 1
56 263 1
56 418 1
57 11 2
57 16 1
57 53 2
57 106 1
57 135 3
57 149 6
57 153 5
57 165 5
57 190 13
57 236 2
57 325 4
57 344 1
57 410 1
57 430 1
57 481 5
58 71 3
58 130 1
58 153 1
58 280 1
58 487 1
59 36 24
59 42 19
59 48 4
59 54 6
59 55 15
59 56 3
59 90 1
59 222 6
59 231 8
59 236 3
59 239 7
59 505 1
60 20 4
60 36 1
60 260 2
61 34 1
61 90 1
61 130 2
61 163 8
61 251 5
61 442 2
61 489 1
62 18 3
62 121 2
62 149 2
62 190 7
63 35 2
64 6 2
64 114 3
64 130 1
65 453 1
65 471 1
65 521 1
66 6 14
66 7 14
66 11 2
66 12 16
66 18 6
66 20 9
66 21 5
66 26 4
66 29 2
66 30 8
66 32 2
66 36 14
66 38 18
66 39 8
66 41 1
66 42 10
66 46 17
66 54 13
66 57 7
66 59 10
66 62 5
66 64 13
66 79 13
66 94 2
66 99 3
66 102 24
66 120 21
66 130 13
66 132 17
66 138 6
66 149 8
66 150 6
66 154 2
66 162 3
66 164 1
66 172 15
66 173 2
66 176 1
66 178 4
66 180 7
66 185 9
66 189 1
66 190 10
66 196 3
66 198 10
66 201 10
66 207 14
66 222 4
66 225 3
66 228 1
66 232 4
66 235 6
66 236 13
66 237 8
66 238 12
66 239 10
66 247 2
66 248 4
66 272 17
66 273 3
66 275 4
66 292 4
66 304 9
66 312 13
66 313 1
66 316 1
66 332 43
66 334 10
66 337 10
66 344 5
66 346 15
66 352 11
66 354 17
66 361 2
66 366 1
66 367 8
66 378 5
66 381 1
66 384 7
66 396 1
66 411 7
66 413 6
66 421 7
66 422 6
66 430 3
66 442 8
66 450 4
66 452 12
66 459 8
66 464 19
66 475 12
66 487 2
66 488 11
66 503 1
66 505 2
66 506 1
66 512 7
66 528 7
66 536 2
67 7 1
67 10 1
67 12 2
67 23 3
67 74 2
67 88 4
67 121 7
67 156 1
67 191 1
67 193 4
67 252 2
67 354 2
68 182 1
68 300 1
69 16 1
69 21 1
69 23 2
69 78 19
70 6 3
70 11 2
70 12 1
70 21 13
70 22 1
70 49 3
70 56 2
70 169 1
